identifier	page
NCBITaxon:1005514	taxa/bacteria/escherichia_coli_pa49.html
NCBITaxon:1005515	taxa/bacteria/escherichia_coli_tw06591.html
NCBITaxon:1005516	taxa/bacteria/escherichia_coli_tw07945.html
NCBITaxon:1005517	taxa/bacteria/escherichia_coli_tw10246.html
NCBITaxon:1005518	taxa/bacteria/escherichia_coli_tw11039.html
NCBITaxon:1005519	taxa/bacteria/escherichia_coli_tw09098.html
NCBITaxon:1005520	taxa/bacteria/escherichia_coli_tw09109.html
NCBITaxon:1005521	taxa/bacteria/escherichia_coli_tw09195.html
NCBITaxon:1005522	taxa/bacteria/escherichia_coli_tw10119.html
NCBITaxon:1005523	taxa/bacteria/escherichia_coli_ec4203.html
NCBITaxon:1005524	taxa/bacteria/escherichia_coli_ec4196.html
NCBITaxon:1005526	taxa/bacteria/escherichia_coli_tw14301.html
NCBITaxon:1005527	taxa/bacteria/escherichia_coli_ec4421.html
NCBITaxon:1005528	taxa/bacteria/escherichia_coli_ec4422.html
NCBITaxon:1005529	taxa/bacteria/escherichia_coli_ec4013.html
NCBITaxon:1005530	taxa/bacteria/escherichia_coli_ec4402.html
NCBITaxon:1005531	taxa/bacteria/escherichia_coli_ec4439.html
NCBITaxon:1005532	taxa/bacteria/escherichia_coli_ec4436.html
NCBITaxon:1005533	taxa/bacteria/escherichia_coli_ec4437.html
NCBITaxon:1005534	taxa/bacteria/escherichia_coli_ec4448.html
NCBITaxon:1005535	taxa/bacteria/escherichia_coli_ec1738.html
NCBITaxon:1005536	taxa/bacteria/escherichia_coli_ec1734.html
NCBITaxon:1005537	taxa/bacteria/escherichia_coli_ec1735.html
NCBITaxon:1005538	taxa/bacteria/escherichia_coli_ec1736.html
NCBITaxon:1005539	taxa/bacteria/escherichia_coli_ec1737.html
NCBITaxon:1005540	taxa/bacteria/escherichia_coli_ec1845.html
NCBITaxon:1005541	taxa/bacteria/escherichia_coli_ec1846.html
NCBITaxon:1005542	taxa/bacteria/escherichia_coli_ec1847.html
NCBITaxon:1005543	taxa/bacteria/escherichia_coli_ec1848.html
