old_taxon_id	current_taxon_id
NCBITaxon:100773	NCBITaxon:50417
NCBITaxon:1007874	NCBITaxon:296872
NCBITaxon:1007876	NCBITaxon:182329
NCBITaxon:10079	NCBITaxon:241142
NCBITaxon:1007904	NCBITaxon:908473
NCBITaxon:1007905	NCBITaxon:908473
NCBITaxon:1007906	NCBITaxon:908473
NCBITaxon:1007907	NCBITaxon:908473
NCBITaxon:1007916	NCBITaxon:1610688
NCBITaxon:100793	NCBITaxon:87466
NCBITaxon:1007954	NCBITaxon:1008985
NCBITaxon:10080	NCBITaxon:399316
NCBITaxon:100813	NCBITaxon:3105834
NCBITaxon:1008150	NCBITaxon:1008153
NCBITaxon:100818	NCBITaxon:201439
NCBITaxon:1008257	NCBITaxon:863577
NCBITaxon:1008260	NCBITaxon:2892069
NCBITaxon:1008295	NCBITaxon:913324
NCBITaxon:1008296	NCBITaxon:913327
NCBITaxon:100831	NCBITaxon:129775
NCBITaxon:100832	NCBITaxon:380923
NCBITaxon:1008362	NCBITaxon:208706
NCBITaxon:1008371	NCBITaxon:912594
NCBITaxon:1008375	NCBITaxon:3127334
NCBITaxon:1008391	NCBITaxon:1313304
NCBITaxon:100842	NCBITaxon:380922
NCBITaxon:1008423	NCBITaxon:173289
NCBITaxon:1008440	NCBITaxon:427944
NCBITaxon:1008444	NCBITaxon:2497698
NCBITaxon:100845	NCBITaxon:380916
NCBITaxon:100846	NCBITaxon:380917
NCBITaxon:100847	NCBITaxon:380913
NCBITaxon:100848	NCBITaxon:402528
NCBITaxon:100849	NCBITaxon:442535
NCBITaxon:100869	NCBITaxon:4783
NCBITaxon:100880	NCBITaxon:1985704
NCBITaxon:100885	NCBITaxon:135858
NCBITaxon:100893	NCBITaxon:727944
NCBITaxon:1008936	NCBITaxon:153543
NCBITaxon:1008941	NCBITaxon:79619
NCBITaxon:1008948	NCBITaxon:127079
NCBITaxon:1008958	NCBITaxon:271256
NCBITaxon:1008964	NCBITaxon:529855
NCBITaxon:1008977	NCBITaxon:41414
NCBITaxon:100898	NCBITaxon:3371160
NCBITaxon:100899	NCBITaxon:3369700
NCBITaxon:1009001	NCBITaxon:36653
NCBITaxon:1009003	NCBITaxon:3359855
NCBITaxon:100904	NCBITaxon:298378
NCBITaxon:100908	NCBITaxon:1525133
NCBITaxon:1009341	NCBITaxon:1671036
NCBITaxon:100943	NCBITaxon:337748
NCBITaxon:1009490	NCBITaxon:2855404
NCBITaxon:1009519	NCBITaxon:1712541
NCBITaxon:1009520	NCBITaxon:13813
NCBITaxon:1009521	NCBITaxon:13813
NCBITaxon:1009522	NCBITaxon:13813
NCBITaxon:1009525	NCBITaxon:13813
NCBITaxon:1009526	NCBITaxon:13813
NCBITaxon:1009527	NCBITaxon:13813
NCBITaxon:1009528	NCBITaxon:13813
NCBITaxon:1009529	NCBITaxon:13813
NCBITaxon:100953	NCBITaxon:3152491
NCBITaxon:1009530	NCBITaxon:13813
NCBITaxon:1009531	NCBITaxon:13813
NCBITaxon:1009532	NCBITaxon:1009533
NCBITaxon:1009534	NCBITaxon:1009533
NCBITaxon:1009535	NCBITaxon:56934
NCBITaxon:1009536	NCBITaxon:56934
NCBITaxon:1009537	NCBITaxon:56934
NCBITaxon:1009538	NCBITaxon:1263700
NCBITaxon:1009543	NCBITaxon:995050
NCBITaxon:1009545	NCBITaxon:1009547
NCBITaxon:1009546	NCBITaxon:1009548
NCBITaxon:1009555	NCBITaxon:995778
NCBITaxon:1009594	NCBITaxon:123451
NCBITaxon:1009698	NCBITaxon:245775
NCBITaxon:1009832	NCBITaxon:1579549
NCBITaxon:1009833	NCBITaxon:2732958
NCBITaxon:1009834	NCBITaxon:1579548
NCBITaxon:1009835	NCBITaxon:3056164
NCBITaxon:1009836	NCBITaxon:1582327
NCBITaxon:1009837	NCBITaxon:1810715
NCBITaxon:1009838	NCBITaxon:62758
NCBITaxon:1009839	NCBITaxon:1810709
NCBITaxon:100984	NCBITaxon:1532943
NCBITaxon:1009855	NCBITaxon:279641
NCBITaxon:1009864	NCBITaxon:2202230
NCBITaxon:1009865	NCBITaxon:1009866
NCBITaxon:100987	NCBITaxon:335949
NCBITaxon:100996	NCBITaxon:129729
NCBITaxon:101047	NCBITaxon:101059
NCBITaxon:101048	NCBITaxon:101059
NCBITaxon:1010602	NCBITaxon:1075315
NCBITaxon:1010627	NCBITaxon:86743
NCBITaxon:1010629	NCBITaxon:480420
NCBITaxon:1010631	NCBITaxon:13813
NCBITaxon:1010667	NCBITaxon:2848001
NCBITaxon:1010670	NCBITaxon:2748235
NCBITaxon:1010671	NCBITaxon:1542768
NCBITaxon:1010674	NCBITaxon:1507898
NCBITaxon:1010704	NCBITaxon:531328
NCBITaxon:1010708	NCBITaxon:3358579
