sample_id	reason
biosample:SAMEA3856679	assembly_unavailable
biosample:SAMEA3856681	assembly_unavailable
biosample:SAMEA3856682	assembly_unavailable
biosample:SAMEA3861961	assembly_unavailable
biosample:SAMEA3861962	assembly_unavailable
biosample:SAMEA3861964	assembly_unavailable
biosample:SAMEA3861965	assembly_unavailable
biosample:SAMEA3861966	assembly_unavailable
biosample:SAMEA3861967	assembly_unavailable
biosample:SAMEA3861968	assembly_unavailable
biosample:SAMEA3861970	assembly_unavailable
biosample:SAMEA3867441	assembly_unavailable
biosample:SAMEA3867442	assembly_unavailable
biosample:SAMEA3867444	assembly_unavailable
biosample:SAMEA3867445	assembly_unavailable
biosample:SAMEA3867448	assembly_unavailable
biosample:SAMEA3867451	assembly_unavailable
biosample:SAMEA3867454	assembly_unavailable
biosample:SAMEA3867459	assembly_unavailable
biosample:SAMEA3867463	assembly_unavailable
biosample:SAMEA3871774	assembly_unavailable
biosample:SAMEA3871776	assembly_unavailable
biosample:SAMEA3871778	assembly_unavailable
biosample:SAMEA3871779	assembly_unavailable
biosample:SAMEA3871780	assembly_unavailable
biosample:SAMEA3871783	assembly_unavailable
biosample:SAMEA3871785	assembly_unavailable
biosample:SAMEA3879485	assembly_unavailable
biosample:SAMEA3879486	assembly_unavailable
biosample:SAMEA3879488	assembly_unavailable
biosample:SAMEA3879493	assembly_unavailable
biosample:SAMEA3879494	assembly_unavailable
biosample:SAMEA3881052	assembly_unavailable
biosample:SAMEA3881053	assembly_unavailable
biosample:SAMEA3881056	assembly_unavailable
biosample:SAMEA3881059	assembly_unavailable
biosample:SAMEA3881065	assembly_unavailable
biosample:SAMEA3881066	assembly_unavailable
biosample:SAMEA3881067	assembly_unavailable
biosample:SAMEA3893447	assembly_unavailable
biosample:SAMEA3893448	assembly_unavailable
biosample:SAMEA3893453	assembly_unavailable
biosample:SAMEA3893454	assembly_unavailable
biosample:SAMEA3893457	assembly_unavailable
biosample:SAMEA3893459	assembly_unavailable
biosample:SAMEA3893462	assembly_unavailable
biosample:SAMEA3905375	assembly_unavailable
biosample:SAMEA3905379	assembly_unavailable
biosample:SAMEA3905386	assembly_unavailable
biosample:SAMEA3919786	assembly_unavailable
biosample:SAMEA3919800	assembly_unavailable
biosample:SAMEA3923588	assembly_unavailable
biosample:SAMEA3923592	assembly_unavailable
biosample:SAMEA3923593	assembly_unavailable
biosample:SAMEA3923595	assembly_unavailable
biosample:SAMEA3930550	assembly_unavailable
biosample:SAMEA3936792	assembly_unavailable
biosample:SAMEA3936793	assembly_unavailable
biosample:SAMEA3936794	assembly_unavailable
biosample:SAMEA3936795	assembly_unavailable
biosample:SAMEA3936796	assembly_unavailable
biosample:SAMEA3936797	assembly_unavailable
biosample:SAMEA3936798	assembly_unavailable
biosample:SAMEA3936800	assembly_unavailable
biosample:SAMEA3956093	assembly_unavailable
biosample:SAMEA3956096	assembly_unavailable
biosample:SAMEA3956098	assembly_unavailable
biosample:SAMEA4007825	assembly_unavailable
biosample:SAMEA4012327	assembly_unavailable
biosample:SAMEA4017703	assembly_unavailable
biosample:SAMEA4017704	assembly_unavailable
biosample:SAMEA4017705	assembly_unavailable
biosample:SAMEA4026938	assembly_unavailable
biosample:SAMEA4028441	assembly_unavailable
biosample:SAMEA4028443	assembly_unavailable
biosample:SAMEA4030732	assembly_unavailable
biosample:SAMEA4030734	assembly_unavailable
biosample:SAMEA4030735	assembly_unavailable
biosample:SAMEA4030736	assembly_unavailable
biosample:SAMEA4030738	assembly_unavailable
biosample:SAMEA4030745	assembly_unavailable
biosample:SAMEA4030753	assembly_unavailable
biosample:SAMEA4040022	assembly_unavailable
biosample:SAMEA4040023	assembly_unavailable
biosample:SAMEA4040024	assembly_unavailable
biosample:SAMEA4040025	assembly_unavailable
biosample:SAMEA4040026	assembly_unavailable
biosample:SAMEA4040027	assembly_unavailable
biosample:SAMEA4040028	assembly_unavailable
biosample:SAMEA4040484	assembly_unavailable
biosample:SAMEA4040590	assembly_unavailable
biosample:SAMEA4040591	assembly_unavailable
